Date,Country/Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmition classification,Days since last reported case
2020-03-09,Ukraine,1,0.0,0.0,0.0,Imported cases only,5.0
2020-03-09,Faroe Islands,2,1.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Gibraltar,1,0.0,0.0,0.0,Under investigation,5.0
2020-03-09,Thailand,50,0.0,1.0,0.0,Local transmission,1.0
2020-03-09,India,43,9.0,0.0,0.0,Local transmission,0.0
2020-03-09,Indonesia,6,2.0,0.0,0.0,Local transmission,0.0
2020-03-09,Maldives,4,2.0,0.0,0.0,Local transmission,0.0
2020-03-09,Bangladesh,3,3.0,0.0,0.0,Local transmission,0.0
2020-03-09,Bhutan,1,0.0,0.0,0.0,Imported cases only,3.0
2020-03-09,Nepal,1,0.0,0.0,0.0,Imported cases only,45.0
2020-03-09,Sri Lanka,1,0.0,0.0,0.0,Imported cases only,42.0
2020-03-09,Iran (Islamic Republic of),6566,743.0,194.0,49.0,Local transmission,0.0
2020-03-09,Bahrain,79,23.0,0.0,0.0,Local transmission,0.0
2020-03-09,Kuwait,64,2.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Iraq,60,6.0,6.0,2.0,Local transmission,0.0
2020-03-09,Egypt,55,7.0,1.0,1.0,Local transmission,0.0
2020-03-09,United Arab Emirates,45,0.0,0.0,0.0,Local transmission,2.0
2020-03-09,Lebanon,32,4.0,0.0,0.0,Local transmission,0.0
2020-03-09,Oman,16,0.0,0.0,0.0,Imported cases only,3.0
2020-03-09,Qatar,15,3.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Saudi Arabia,15,8.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Pakistan,6,1.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Afghanistan,4,0.0,0.0,0.0,Imported cases only,1.0
2020-03-09,Morocco,2,0.0,0.0,0.0,Imported cases only,4.0
2020-03-09,Tunisia,2,1.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Jordan,1,0.0,0.0,0.0,Imported cases only,6.0
2020-03-09,occupied Palestinian territory,19,3.0,0.0,0.0,Local transmission,0.0
2020-03-09,United States of America,213,0.0,11.0,0.0,Local transmission,2.0
2020-03-09,Canada,62,5.0,0.0,0.0,Local transmission,0.0
2020-03-09,Brazil,25,6.0,0.0,0.0,Local transmission,0.0
2020-03-09,Ecuador,15,1.0,0.0,0.0,Local transmission,0.0
2020-03-09,Argentina,12,3.0,1.0,0.0,Imported cases only,0.0
2020-03-09,Chile,10,5.0,0.0,0.0,Local transmission,0.0
2020-03-09,Costa Rica,9,4.0,0.0,0.0,Local transmission,0.0
2020-03-09,Mexico,7,0.0,0.0,0.0,Imported cases only,1.0
2020-03-09,Peru,6,0.0,0.0,0.0,Local transmission,2.0
2020-03-09,Colombia,1,0.0,0.0,0.0,Imported cases only,2.0
2020-03-09,Dominican Republic,1,0.0,0.0,0.0,Imported cases only,7.0
2020-03-09,Paraguay,1,1.0,0.0,0.0,Imported cases only,0.0
2020-03-09,French Guiana,5,0.0,0.0,0.0,Imported cases only,1.0
2020-03-09,Martinique,2,0.0,0.0,0.0,Imported cases only,1.0
2020-03-09,Saint Martin,2,0.0,0.0,0.0,Under investigation,6.0
2020-03-09,Saint Barthelemy,1,0.0,0.0,0.0,Under investigation,6.0
2020-03-09,Algeria,20,3.0,0.0,0.0,Local transmission,0.0
2020-03-09,Senegal,4,0.0,0.0,0.0,Imported cases only,4.0
2020-03-09,South Africa,3,1.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Cameroon,2,0.0,0.0,0.0,Local transmission,2.0
2020-03-09,Nigeria,2,1.0,0.0,0.0,Imported cases only,0.0
2020-03-09,Togo,1,0.0,0.0,0.0,Imported cases only,2.0
2020-03-09,International conveyance (Diamond Princess),696,0.0,7.0,0.0,Local transmission,1.0
2020-03-03,Republic of Korea,4812,600,28,6,Local transmission,0
2020-03-03,Japan,268,14,6,0,Local transmission,0
2020-03-03,Singapore,108,2,0,0,Local transmission,0
2020-03-03,Australia,33,6,1,0,Local transmission,0
2020-03-03,Malaysia,29,5,0,0,Local transmission,0
2020-03-03,Viet Nam,16,0,0,0,Local transmission,19
2020-03-03,Philippines,3,0,1,0,Imported cases only,28
2020-03-03,New Zealand,2,1,0,0,Imported cases only,0
2020-03-03,Cambodia,1,0,0,0,Imported cases only,36
2020-03-03,Italy,2036,347,52,17,Local transmission,0
2020-03-03,France,191,91,3,1,Local transmission,0
2020-03-03,Germany,157,28,0,0,Local transmission,0
2020-03-03,Spain,114,69,0,0,Local transmission,0
